Circumference (in),Degrees per Inch (360°/Circumference),radius,,,,,,Circumference (in),Degrees per Inch (360°/Circumference),radius,,spacing
11.93805208,30.15567343,1.9,,,,,,11.30973355,31.83098862,1.8,,27.3203125
,31.83098862,28.64788976,26.04353614,30.15567343,,,,11.93805208,31.83098862,1.9,,27.0546875
,,,,,,,,12.56637061,31.83098862,2,,27.7578125
For radius 1.8,,,,,,,,13.82300768,31.83098862,2.2,,27.46875
row,value,hole_d,hole_r,s_v_in,s_v_sub_in,spacing,,,30.15567343,,,25.6484375
1,35,0.546875,0.2734375,27,5,27.3203125,,,30.15567343,,,25.75
2,56,0.875,0.4375,27,2,27.0546875,,,30.15567343,,,25.71875
3,55,0.859375,0.4296875,27,24,27.7578125,,,30.15567343,,,25.71875
4,56,0.875,0.4375,27,15,27.46875,,,30.15567343,,,26.15625
5,56,0.875,0.4375,,,,,,28.64788976,,,24.2265625
,,,,,,,,,28.64788976,,,24.3046875
For radius 1.9,,,,,,,,,28.64788976,,,24.375
row,value,hole_d,hole_r,s_v_in,s_v_sub_in,spacing,,,28.64788976,,,24.34375
1,27,0.421875,0.2109375,25,28,25.6484375,,,28.64788976,,,24.3515625
2,56,0.875,0.4375,25,24,25.75,,,26.04353614,,,22.0546875
3,56,0.875,0.4375,25,23,25.71875,,,26.04353614,,,22
4,56,0.875,0.4375,25,23,25.71875,,,26.04353614,,,22.03125
5,56,0.875,0.4375,25,23,26.15625,,,26.04353614,,,22.0390625
6,56,0.875,0.4375,,,,,,26.04353614,,,21.9921875
,,,,,,,,,,,,
For radius 2.0,,,,,,,,,,,,
row,value,hole_d,hole_r,s_v_in,s_v_sub_in,spacing,,,,,,
1,56,0.875,0.4375,24,7,24.2265625,,,,,,
2,55,0.859375,0.4296875,24,10,24.3046875,,,,,,
3,56,0.875,0.4375,24,12,24.375,,,,,,
4,56,0.875,0.4375,24,11,24.34375,,,,,,
5,56,0.875,0.4375,24,11,24.3515625,,,,,,
6,55,0.859375,0.4296875,,,,,,,,,
,,,,,,,,,,,,
For radius 2.2,,,,,,,,,,,,
row,value,hole_d,hole_r,s_v_in,s_v_sub_in,spacing,,,,,,
1,55,0.859375,0.4296875,22,2,22.0546875,,,,,,
2,56,0.875,0.4375,22,0,22,,,,,,
3,56,0.875,0.4375,22,1,22.03125,,,,,,
4,56,0.875,0.4375,22,1,22.0390625,,,,,,
5,55,0.859375,0.4296875,22,0,21.9921875,,,,,,
6,56,0.875,0.4375,,,,,,,,,
